Approach1,Approach2
2.740699463196292,2.740699463196292
3.9401766547739165,3.9401766547739165
4.010445453216415,4.010445453216415
3.3948208187537716,3.3948208187537716
3.049062175635647,3.049062175635647
4.832158921978941,4.832158921978941
3.145230704142671,3.145230704142671
3.9417738181304456,3.9417738181304456
3.092027121771836,3.092027121771836
2.3963104464189704,2.2784308270632225
6.114987156986243,6.114987156986243
3.8294971802265367,3.8294971802265367
4.868462825875847,4.868462825875847
6.300976423581321,5.7704790123329435
2.182298938518154,2.182298938518154
5.2702913544426915,3.9091642740445396
4.734219951331882,4.734219951331882
3.5149469891019587,3.5149469891019587
3.101720236977501,5.581432738117568
5.2135196504688075,4.552075159443549
4.382622842999189,3.533891679060843
3.0495735513113784,4.261169040556382
4.275539534224878,4.349894695411505
3.2663189115081437,3.2663189115081437
3.829971722370602,3.829971722370602
2.6630032470413165,2.6630032470413165
0.6474588133847141,0.6474588133847141
2.4254287515924715,2.4254287515924715
3.586630913249107,3.586630913249107
5.2938972465045975,5.2938972465045975
3.420462942458667,3.420462942458667
3.203474319508966,3.203474319508966
1.7973836422860565,1.7973836422860565
3.9488596953030624,3.9488596953030624
3.300231913597968,2.9648708871543676
2.801049616993681,2.801049616993681
4.544803527370223,4.544803527370223
1.6273157838639336,1.6273157838639336
3.3908925978715927,3.3908925978715927
4.766968531255816,4.766968531255816
2.5695969438697674,2.5695969438697674
2.804460350758513,2.804460350758513
5.074901050311508,5.074901050311508
3.7263263113671883,3.7263263113671883
1.209497402815761,1.209497402815761
4.621948954952305,4.568071214578431
3.606965345702792,3.606965345702792
2.4818952902093883,2.4818952902093883
4.066704359408121,4.066704359408121
3.574213472645927,3.574213472645927
3.0703089178919685,3.0703089178919685
5.977629735284834,5.977629735284834
2.2132627199481747,3.8985202903227547
1.8375801042874431,1.8375801042874431
1.5020025223825617,1.5020025223825617
4.805360038438446,4.805360038438446
2.7354563766023254,2.7354563766023254
3.0876034994662787,3.0876034994662787
3.4579829536610007,3.4579829536610007
0.7041370546448119,0.7041370546448119
0.7074859311151331,0.7074859311151331
3.9707560774103703,3.9707560774103703
3.824369963591329,3.824369963591329
3.186571630664462,3.186571630664462
5.364995055233503,5.364995055233503
6.6202098447222255,6.6202098447222255
2.0581468476996863,2.0581468476996863
3.461730092304996,3.461730092304996
7.041699866215086,7.041699866215086
4.074388583826912,4.074388583826912
1.4640066420961737,1.4640066420961737
6.170235560028857,5.915327385897294
3.268178537743897,3.268178537743897
4.136332475089391,4.136332475089391
2.7436693919182344,2.7436693919182344
0.5506890827109215,0.5506890827109215
2.504050309821441,0.8258685366824464
4.075414994395589,4.075414994395589
3.326166198706818,3.326166198706818
4.303059790404509,4.303059790404509
1.9114209911971205,1.9114209911971205
6.136632731822784,6.136632731822784
5.409697496194933,5.409697496194933
1.9084066636019816,1.9084066636019816
3.3442808494205836,3.3442808494205836
2.603675406408204,2.603675406408204
2.0084553221508856,2.7479597905014503
3.8372835215965515,3.8372835215965515
2.4105711219294,2.4105711219294
4.161454911785686,4.161454911785686
5.5421701200127655,5.5421701200127655
1.450889522251856,1.450889522251856
1.9266237374360735,1.9266237374360735
3.85608709365627,3.85608709365627
3.4815763513766713,3.4815763513766713
4.2634486600057535,4.2634486600057535
2.1045541788289093,2.1045541788289093
5.514220366502161,5.514220366502161
3.271541102986685,3.271541102986685
1.729783817571303,1.729783817571303
6.374354464412386,6.374354464412386
4.027146613720727,2.8985594325884194
3.5881046579188043,3.5881046579188043
3.924797176888726,5.549259845302748
6.770164422506101,6.770164422506101
2.519239795811403,2.519239795811403
2.9948486643160885,2.9948486643160885
4.0161196653837425,4.0161196653837425
3.2829038867139273,3.2829038867139273
5.191660159240686,5.191660159240686
4.328374402460105,4.50101771991538
3.8783909133060477,3.8783909133060477
3.120659556582551,3.120659556582551
5.182492673030574,5.182492673030574
2.3491739658370694,2.3491739658370694
2.460057274587399,2.460057274587399
2.911091440409037,2.911091440409037
3.095437030264175,4.794892134749132
4.551634731233052,4.551634731233052
2.2247397096702493,2.2247397096702493
3.580465271865807,3.580465271865807
2.8373698638420413,2.8373698638420413
4.192749435356804,4.192749435356804
2.258737008036151,2.258737008036151
1.0422169983977005,1.0422169983977005
5.588081962295883,5.639521917042914
2.0246377580788972,2.0246377580788972
3.599829388409323,3.599829388409323
3.608092923986292,3.608092923986292
3.2345521175995473,3.2345521175995473
4.448258939923485,4.448258939923485
7.511503888356043,7.21794495052586
0.9570469611586269,0.9570469611586269
2.935406186542127,2.935406186542127
2.611161714958674,2.611161714958674
2.8913813818572627,2.8913813818572627
5.196056712140823,5.196056712140823
2.7318214800468157,3.673483630399177
5.368130976262067,5.368130976262067
2.2596711613890985,3.707132577820329
6.050995346805597,5.3075077772895005
3.0546148636203823,3.0546148636203823
5.314398621497303,5.314398621497303
3.040223244171666,3.040223244171666
3.2499043068589892,3.2499043068589892
3.648700249131992,3.648700249131992
4.054112410405626,4.054112410405626
3.321115885419066,3.321115885419066
2.857703552043652,2.857703552043652
1.8099431875681362,1.8099431875681362
3.272757089106091,3.272757089106091
1.1491427384205173,1.1491427384205173
3.6538532382991753,3.6538532382991753
1.9218749738593288,1.9218749738593288
3.2056593967373352,3.2056593967373352
4.645999306147862,4.645999306147862
4.800160367970674,3.753211409100448
1.945286271878098,1.945286271878098
3.3662478667823748,3.3662478667823748
3.463906336258654,3.962928356293671
5.92449034081537,5.3909959496308435
4.27387211908992,4.27387211908992
3.2134585200350907,3.2134585200350907
3.002881292761241,3.002881292761241
2.653226383578242,2.653226383578242
3.8550486224069553,3.8550486224069553
1.8701817290165828,1.8701817290165828
2.53161940430437,2.53161940430437
1.9467453307923428,3.4309137110360046
3.893794483072135,3.893794483072135
4.3932437743506485,4.3932437743506485
2.666171238751099,2.666171238751099
3.3981254080137013,3.7616142073685728
2.481811593716443,1.7926148164615483
5.58150462957299,5.58150462957299
0.9185456610410062,0.9185456610410062
4.20458282584594,4.20458282584594
3.260364229959965,3.260364229959965
1.1519265769126839,1.1519265769126839
2.0622336964705252,2.0622336964705252
2.357230962349928,2.357230962349928
4.034194660900223,4.034194660900223
3.293658754598211,3.293658754598211
3.942899058292349,3.942899058292349
2.116777007010134,2.116777007010134
5.294003592388019,5.294003592388019
2.5976258209772576,2.5976258209772576
1.867037434812525,1.867037434812525
4.030678765634762,4.030678765634762
1.9745087616097134,1.9745087616097134
3.5584990340813647,3.5584990340813647
2.5529669612422783,2.770615905832943
6.869863337534596,6.869863337534596
4.337461785317563,4.337461785317563
1.660423740138754,1.660423740138754
3.431662607436555,3.431662607436555
1.8829677545731691,1.8829677545731691
2.5544583011413198,2.5544583011413198
5.0051213450936185,5.0051213450936185
2.8875730309112906,2.8875730309112906
2.286763159025168,2.286763159025168
4.357657486753544,4.357657486753544
2.441434625667496,3.597088597651287
1.6107061174526316,1.6107061174526316
3.584937507696749,3.584937507696749
1.690372352723499,1.690372352723499
3.399617746264178,3.3568975456553787
1.9796467470036974,1.9796467470036974
3.3906703085814316,3.3906703085814316
3.3463666319668435,4.155935920332511
2.9878423866722637,2.9878423866722637
5.359821418488989,4.180166768671299
3.677306391502974,3.677306391502974
3.6919545836159373,3.6919545836159373
3.4504355902359043,3.4504355902359043
2.291804393288048,2.291804393288048
4.942840648837668,4.942840648837668
5.119220694267643,5.119220694267643
3.5983277396962188,3.5983277396962188
2.561909112456539,2.561909112456539
5.935063353378465,5.935063353378465
5.736479203685808,5.736479203685808
5.846091096316328,6.92254550436955
6.251207195636029,6.251207195636029
6.740238720850606,6.740238720850606
3.537003840017126,3.537003840017126
4.4358020065316,4.4358020065316
5.010044832912875,1.9470226286686405
1.4195947322220979,1.4195947322220979
6.501257267736422,6.501257267736422
3.7733707769078846,3.7733707769078846
5.536196483715903,4.679653455150663
3.8611129774752984,3.8611129774752984
2.9060460039475315,2.9060460039475315
4.499065070385399,4.499065070385399
3.3567619442207404,2.5453776330994424
3.0284754206184297,3.0284754206184297
5.433594124057558,6.329846079730686
3.059911724880701,3.059911724880701
3.462657350623443,3.462657350623443
4.846551507987279,4.846551507987279
2.5374366719456347,2.5374366719456347
1.5442035465760742,1.0562688621877026
3.857481208540576,3.857481208540576
5.410893290204486,5.410893290204486
3.350042379752394,3.350042379752394
4.518834972883399,5.177382401559633
3.167215341934757,3.167215341934757
4.718481746905386,4.718481746905386
2.7277907430945247,2.7277907430945247
4.00156542439718,4.00156542439718
1.3248837825789455,1.3248837825789455
5.546845132500768,5.546845132500768
3.8051432652996042,3.8051432652996042
3.6149642974137848,3.6149642974137848
1.6879863634046406,1.6879863634046406
3.8995557854342358,3.8995557854342358
2.6717419411451617,2.6717419411451617
4.041660292094209,4.041660292094209
4.198986885891976,4.198986885891976
2.7502496557006024,2.7502496557006024
2.8690850280917743,2.8690850280917743
4.406123807842327,4.406123807842327
3.7857836501643645,3.7857836501643645
3.541432392674801,3.541432392674801
4.809906719295034,4.809906719295034
2.9869518752300155,2.9869518752300155
3.613375123743212,3.613375123743212
2.6388443396785286,3.186294393753107
4.878938967182707,4.878938967182707
1.9834342011928492,1.9834342011928492
4.6816361734525955,4.6816361734525955
2.9345108993384263,2.9345108993384263
2.6819982668438955,2.6819982668438955
3.912458069819221,3.912458069819221
2.8910461092205306,4.384456126144479
1.9408116278020757,3.4167862637952195
3.4859292330601166,3.4859292330601166
3.4120821226473543,3.4120821226473543
1.178189388072266,1.178189388072266
3.5245081834368435,2.897037028874527
2.9436799118065533,2.9436799118065533
2.5208707213515043,2.5208707213515043
3.1164380893233505,3.1164380893233505
4.108467124522619,3.7456062087538413
2.767462941472884,2.767462941472884
4.768446648861316,4.768446648861316
1.473400628648157,1.473400628648157
3.8720566784605905,3.8720566784605905
2.1148352861125597,2.616066502089587
2.5992452918230673,2.5992452918230673
3.0786723124109736,3.0786723124109736
2.999562437532294,3.553594997998798
1.2310339195189621,1.2310339195189621
3.595434494983574,3.595434494983574
4.067324684453572,4.067324684453572
5.223141147168273,3.4435951509986786
4.166359867773889,4.166359867773889
3.3869794372722595,3.3869794372722595
2.848037927215098,2.1653029890695987
3.551451287874791,3.551451287874791
5.546695563219555,5.546695563219555
3.9263966037507125,3.9263966037507125
1.6038762472538437,1.6038762472538437
3.129416618600343,3.129416618600343
5.214536911648857,5.214536911648857
1.528046651967274,3.503713049668117
2.6396305937397786,2.6396305937397786
5.467048779066711,5.267639039728617
2.930927358605173,2.8168283730838413
3.9777808329602715,4.815063811743974
5.309185037503722,5.309185037503722
5.485168452126862,5.485168452126862
2.660749392452883,2.660749392452883
5.663774557076947,5.663774557076947
1.9045419602314868,1.9045419602314868
4.374566847885613,4.374566847885613
6.318568250901636,6.318568250901636
3.4258546226627096,1.2689886165707405
3.841440917274305,3.841440917274305
3.4381155003696016,3.4381155003696016
1.315179958120978,2.782623188252964
5.020433513401449,5.020433513401449
6.520631315560047,6.594687790404777
4.069552387100151,4.069552387100151
4.731833338710528,4.731833338710528
4.525275219343563,4.525275219343563
2.055223263756692,2.055223263756692
3.0543914590916743,3.0543914590916743
2.7241907004600123,1.7960749492898551
4.317058571759643,4.317058571759643
3.4715645263464894,3.4715645263464894
3.8940248940353563,3.8940248940353563
2.7032425431221654,2.7032425431221654
2.0564608517475245,2.0564608517475245
2.1215889000516173,2.1215889000516173
1.6102249697445206,1.6102249697445206
1.5369412347967601,1.5369412347967601
3.409659837270657,2.8173048220126695
1.801600456510587,1.801600456510587
2.2928792257955424,2.2928792257955424
4.134205189631034,4.134205189631034
1.5574643173977878,1.9044690910574515
2.1755715900928894,2.1755715900928894
1.300673141898256,1.5819429755441081
5.190757085023077,5.190757085023077
2.126288173142198,2.126288173142198
3.792172396184325,3.792172396184325
1.9797130982243445,2.2762908470150918
3.286749512280289,3.286749512280289
4.856863818310716,4.856863818310716
2.93698582277191,2.93698582277191
1.6362512816709849,1.6362512816709849
4.257803659283489,2.5452203541691043
3.1631132521824035,3.1631132521824035
5.547989366012556,3.9086906007621387
2.067761977328645,0.925822977903987
1.4530680376654872,1.4530680376654872
5.231901507766075,5.231901507766075
4.078404904403068,4.437752664524772
1.4795316500126348,1.4795316500126348
3.648013806819337,5.7228855885982
2.311121778792305,3.1975769111989973
2.1693310060879294,2.1693310060879294
4.352030930699793,4.352030930699793
2.6205767003801284,2.6205767003801284
4.172753479691111,4.172753479691111
4.527813911427049,4.527813911427049
4.7037785616556835,4.7037785616556835
2.544454941942343,2.544454941942343
1.415707861722559,2.949086217481429
3.436317789384178,3.436317789384178
1.2610324184626875,1.2610324184626875
1.5715736998136847,1.5715736998136847
4.194103846403179,4.194103846403179
3.734183980584177,3.734183980584177
2.7115082167446625,5.299382151343795
5.178629026875742,5.178629026875742
3.6346373516201873,3.6346373516201873
2.7054094168231106,2.7054094168231106
3.4780108675204495,3.4780108675204495
3.9906487461122238,3.9906487461122238
5.030108915805691,5.030108915805691
3.1688996196189594,3.8469111342454454
3.467264410905435,4.332757919886721
4.531640547357009,6.025774123411315
5.311438205328014,5.311438205328014
2.8095294132795687,2.8095294132795687
2.719325252593692,1.4923498502396053
3.0213143302626984,3.0213143302626984
4.978854198572174,4.978854198572174
5.62488417752486,5.430649071050915
2.1629895248686912,2.1629895248686912
1.9841776071935406,1.9841776071935406
4.7550477204008565,4.7550477204008565
2.57490854846414,2.57490854846414
2.0470269700223174,2.0470269700223174
1.9508754867928075,1.9508754867928075
2.846491128627325,2.846491128627325
3.161563669571963,3.161563669571963
2.14609469535615,2.14609469535615
1.8308411097373707,2.136139936445418
2.4223035172604477,2.4223035172604477
4.475346289616522,4.475346289616522
4.430598982701427,2.0391546665217275
3.9426349062746135,3.9426349062746135
1.7359163416861647,1.7359163416861647
3.1383272711111445,3.1383272711111445
2.6378479279308316,2.6378479279308316
4.612527189123341,4.612527189123341
2.2173949749232134,2.2173949749232134
3.8716483473733527,3.99384579061279
2.1095766464947068,2.1095766464947068
3.6866851449875604,3.6866851449875604
2.187364452984128,3.8081864609215117
1.6013166100378071,1.6013166100378071
1.7494909019994183,1.7494909019994183
3.512181761982137,3.512181761982137
2.3808942452960737,4.2910291586846085
3.52567294332817,3.52567294332817
3.1406299524482195,3.1406299524482195
4.229178163348545,5.255614258383616
2.9777452151600357,3.725970439320161
2.577158570328261,2.7710975308435937
3.0061131920803987,3.0061131920803987
5.134784897463556,5.638506185864385
2.3027430635465533,2.3027430635465533
3.6592824253170617,3.6592824253170617
5.273769083827463,5.788185382463761
2.8675697207501414,2.8675697207501414
3.6166143652608653,2.6488710513211666
1.3959923893356725,1.796928721776479
4.818433472157255,4.818433472157255
3.6009507037785355,3.6009507037785355
1.620284558907284,1.620284558907284
1.7667780746915778,1.7667780746915778
3.654937492670321,3.654937492670321
4.223867578783418,4.223867578783418
5.204906718114268,5.204906718114268
6.213829619715951,6.213829619715951
4.602951885106413,4.8484885238512465
2.238159203642671,3.478273609539451
2.548679285473652,2.548679285473652
6.7612249339617945,6.7612249339617945
5.3513429574917115,6.0496053548925035
3.386867008934118,3.386867008934118
3.448570072426327,3.773487029315949
3.4470515509279487,3.4470515509279487
1.758887389484265,1.758887389484265
2.1234777426547207,3.078793083790251
2.72920969821908,2.72920969821908
6.090547680381348,6.491938826861029
3.790711262335992,3.790711262335992
5.436689634680539,5.436689634680539
4.005091608308051,4.666175320274581
4.5007444886764105,4.5007444886764105
4.891491369655392,4.891491369655392
3.9107594281720965,3.9107594281720965
2.190203512275426,2.190203512275426
3.0777705875113726,3.0777705875113726
5.629674744658938,5.629674744658938
4.732831947087698,4.732831947087698
2.154256606367814,2.154256606367814
4.501584140503859,4.501584140503859
5.6280843901498745,5.340867840993098
4.506297281901889,4.506297281901889
3.1254140055671877,3.1254140055671877
4.885453322338594,4.885453322338594
5.039139586066076,5.039139586066076
3.2004430236089556,3.2004430236089556
2.777300732151185,2.777300732151185
2.903948813747438,2.903948813747438
2.973923172940146,2.973923172940146
4.320146883709528,4.320146883709528
4.937330185793762,4.874908797742097
5.9566625737778605,5.9566625737778605
3.335664651160593,3.335664651160593
5.149603937504701,5.149603937504701
4.762893272030834,6.16444074081155
4.725462101242495,4.725462101242495
2.05328233823483,2.05328233823483
5.286123076467966,5.6577157781518235
1.8478987471756128,1.8478987471756128
4.596237031450345,4.596237031450345
3.4891736945810017,3.4891736945810017
1.567731380285915,1.567731380285915
3.6742776464303075,3.6742776464303075
1.9550892092085206,1.9550892092085206
3.153429853041146,3.153429853041146
5.964578389818388,5.964578389818388
3.5877371491811445,3.5877371491811445
3.8092466461143575,3.467617796135839
3.2242197721609913,3.2242197721609913
3.3529653583640204,3.3529653583640204
4.081228975858963,4.081228975858963
2.4905934091416078,2.4905934091416078
2.1118856127140098,2.1118856127140098
3.774198305456919,3.0673873621863965
